latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
39.94577,33.19286,304.93,0.47,0.4,2026-08-26,9,N,VIIRS,n,2.0NRT,290.03,1.0,N
39.94628,33.19096,301.35,0.47,0.4,2026-08-26,9,N,VIIRS,n,2.0NRT,289.69,1.07,N
40.04903,32.65186,301.16,0.45,0.39,2026-08-26,9,N,VIIRS,n,2.0NRT,290.1,0.63,N
40.05081,32.65015,303.47,0.45,0.39,2026-08-26,9,N,VIIRS,n,2.0NRT,289.98,0.72,N
40.09016,35.01201,312.17,0.56,0.43,2026-08-26,9,N,VIIRS,n,2.0NRT,284.29,2.18,N
40.24269,29.92662,307.64,0.39,0.36,2026-08-26,9,N,VIIRS,n,2.0NRT,292.98,1.06,N
40.2613,30.04148,307.14,0.39,0.36,2026-08-26,9,N,VIIRS,n,2.0NRT,291.96,0.7,N
40.54073,34.40746,303.01,0.52,0.41,2026-08-26,9,N,VIIRS,n,2.0NRT,287.45,0.77,N
40.54323,34.41461,299.49,0.52,0.41,2026-08-26,9,N,VIIRS,n,2.0NRT,287.4,0.84,N
40.75867,29.76262,309.96,0.39,0.36,2026-08-26,9,N,VIIRS,n,2.0NRT,296.1,1.11,N
40.76615,29.52838,314.05,0.39,0.36,2026-08-26,9,N,VIIRS,n,2.0NRT,295.16,1.45,N
40.78135,29.60346,315.45,0.39,0.36,2026-08-26,9,N,VIIRS,n,2.0NRT,296.33,1.86,N
41.02163,28.55886,314.31,0.39,0.36,2026-08-26,9,N,VIIRS,n,2.0NRT,294.69,1.19,N
41.02233,28.55432,311.17,0.39,0.36,2026-08-26,9,N,VIIRS,n,2.0NRT,293.91,1.27,N
41.02638,36.10262,297.04,0.4,0.44,2026-08-26,9,N,VIIRS,n,2.0NRT,286.12,0.46,N
41.18284,32.63496,304.68,0.44,0.38,2026-08-26,9,N,VIIRS,n,2.0NRT,291.58,1.44,N
41.19264,32.622,305.12,0.44,0.38,2026-08-26,9,N,VIIRS,n,2.0NRT,290.37,1.39,N
41.23781,36.44258,302.63,0.41,0.45,2026-08-26,9,N,VIIRS,n,2.0NRT,290.6,0.86,N
41.23948,36.46544,320.71,0.41,0.45,2026-08-26,9,N,VIIRS,n,2.0NRT,288.63,3.28,N
41.24156,36.46491,341.99,0.41,0.45,2026-08-26,9,N,VIIRS,n,2.0NRT,290.99,5.52,N
41.24348,36.46703,328.72,0.41,0.45,2026-08-26,9,N,VIIRS,n,2.0NRT,291.44,3.28,N
41.25541,31.41403,326.77,0.41,0.37,2026-08-26,9,N,VIIRS,n,2.0NRT,293.79,2.25,N
41.25957,31.43043,313.42,0.41,0.37,2026-08-26,9,N,VIIRS,n,2.0NRT,293.42,1.44,N
41.2635,31.42965,307.64,0.41,0.37,2026-08-26,9,N,VIIRS,n,2.0NRT,295.56,1.05,N
41.26376,31.42671,310.12,0.41,0.37,2026-08-26,9,N,VIIRS,n,2.0NRT,295.85,1.48,N
41.26435,31.42489,312.33,0.41,0.37,2026-08-26,9,N,VIIRS,n,2.0NRT,295.71,1.79,N
41.2646,31.42195,310.67,0.41,0.37,2026-08-26,9,N,VIIRS,n,2.0NRT,294.25,1.48,N
41.26769,31.42593,321.57,0.41,0.37,2026-08-26,9,N,VIIRS,n,2.0NRT,295.37,1.79,N
41.61639,35.91119,308.52,0.57,0.43,2026-08-26,9,N,VIIRS,n,2.0NRT,289.89,1.52,N
41.63508,27.50438,309.21,0.4,0.37,2026-08-26,9,N,VIIRS,n,2.0NRT,292.29,1.36,N
41.79775,26.70108,299.04,0.42,0.37,2026-08-26,9,N,VIIRS,n,2.0NRT,288.91,0.57,N
35.52656,44.34709,315.76,0.72,0.75,2026-08-26,11,N,VIIRS,n,2.0NRT,294.64,3.96,N
35.52826,44.34468,330.36,0.72,0.75,2026-08-26,11,N,VIIRS,n,2.0NRT,295.34,4.72,N
35.52894,44.33961,326.16,0.72,0.75,2026-08-26,11,N,VIIRS,n,2.0NRT,295.3,4.02,N
35.53061,44.33715,317.62,0.72,0.75,2026-08-26,11,N,VIIRS,n,2.0NRT,295.53,4.72,N
35.53562,44.34248,311.22,0.72,0.75,2026-08-26,11,N,VIIRS,n,2.0NRT,294.0,4.02,N
35.56046,44.28979,309.44,0.71,0.75,2026-08-26,11,N,VIIRS,n,2.0NRT,295.31,2.41,N
35.56145,44.28493,323.27,0.71,0.75,2026-08-26,11,N,VIIRS,n,2.0NRT,294.99,2.71,N
35.56279,44.28232,316.13,0.71,0.75,2026-08-26,11,N,VIIRS,n,2.0NRT,294.49,2.41,N
35.56813,44.28773,306.17,0.71,0.75,2026-08-26,11,N,VIIRS,n,2.0NRT,295.15,2.71,N
35.62381,44.01594,307.66,0.69,0.74,2026-08-26,11,N,VIIRS,n,2.0NRT,295.11,10.85,N
35.62383,44.01245,331.91,0.69,0.74,2026-08-26,11,N,VIIRS,n,2.0NRT,295.42,8.89,N
35.62603,44.00528,333.29,0.69,0.74,2026-08-26,11,N,VIIRS,n,2.0NRT,295.6,8.89,N
35.62606,44.00882,367.0,0.69,0.74,2026-08-26,11,N,VIIRS,h,2.0NRT,298.88,27.31,N
35.63026,44.01572,341.35,0.69,0.74,2026-08-26,11,N,VIIRS,n,2.0NRT,297.07,8.89,N
35.63246,44.00858,344.69,0.69,0.74,2026-08-26,11,N,VIIRS,n,2.0NRT,296.6,8.89,N
35.6325,44.01206,333.95,0.69,0.74,2026-08-26,11,N,VIIRS,n,2.0NRT,296.4,6.33,N
35.65921,43.96995,324.56,0.68,0.74,2026-08-26,11,N,VIIRS,n,2.0NRT,296.58,6.87,N
35.66147,43.96257,317.82,0.68,0.74,2026-08-26,11,N,VIIRS,n,2.0NRT,296.14,7.31,N
35.66179,43.96618,333.84,0.68,0.74,2026-08-26,11,N,VIIRS,n,2.0NRT,297.01,7.51,N
35.67529,44.06602,305.79,0.69,0.74,2026-08-26,11,N,VIIRS,n,2.0NRT,294.87,2.35,N
35.67949,43.87966,327.31,0.67,0.74,2026-08-26,11,N,VIIRS,n,2.0NRT,295.7,16.62,N
35.68025,43.88343,332.94,0.67,0.74,2026-08-26,11,N,VIIRS,n,2.0NRT,296.18,20.47,N
35.68174,43.87234,309.7,0.67,0.74,2026-08-26,11,N,VIIRS,n,2.0NRT,295.11,16.53,N
35.68251,43.87622,367.0,0.67,0.74,2026-08-26,11,N,VIIRS,h,2.0NRT,298.53,20.47,N
35.68598,43.88259,354.57,0.67,0.74,2026-08-26,11,N,VIIRS,n,2.0NRT,299.29,16.62,N
35.68673,43.88638,306.4,0.67,0.74,2026-08-26,11,N,VIIRS,n,2.0NRT,295.03,4.9,N
35.68822,43.87526,338.57,0.67,0.74,2026-08-26,11,N,VIIRS,n,2.0NRT,296.35,16.53,N
35.689,43.87913,341.12,0.67,0.74,2026-08-26,11,N,VIIRS,n,2.0NRT,296.91,4.9,N
35.71975,44.04283,327.28,0.68,0.74,2026-08-26,11,N,VIIRS,n,2.0NRT,297.72,7.42,N
35.72074,44.04083,338.2,0.68,0.74,2026-08-26,11,N,VIIRS,n,2.0NRT,297.71,8.32,N
35.72634,44.04556,367.0,0.68,0.74,2026-08-26,11,N,VIIRS,h,2.0NRT,298.99,16.53,N
35.72736,44.04349,367.0,0.68,0.74,2026-08-26,11,N,VIIRS,h,2.0NRT,299.38,8.32,N
35.72865,44.03809,318.52,0.68,0.74,2026-08-26,11,N,VIIRS,n,2.0NRT,297.78,14.34,N
35.7297,44.03606,322.0,0.68,0.74,2026-08-26,11,N,VIIRS,n,2.0NRT,298.06,8.32,N
35.77066,43.99807,326.88,0.68,0.74,2026-08-26,11,N,VIIRS,n,2.0NRT,297.74,6.92,N
35.77196,43.99621,329.66,0.68,0.74,2026-08-26,11,N,VIIRS,n,2.0NRT,297.98,8.2,N
