latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
36.7168,36.19906,300.5,0.37,0.58,2025-02-22,12,N,VIIRS,n,2,271.72,1.16,N,2
36.91579,41.89626,301.36,0.71,0.75,2025-02-22,12,N,VIIRS,n,2,266.74,1.02,N,2
36.93518,42.12261,295.39,0.73,0.76,2025-02-22,12,N,VIIRS,n,2,266.0,1.46,N,2
36.93639,42.13356,295.4,0.73,0.76,2025-02-22,12,N,VIIRS,n,2,266.9,1.48,N,2
36.94564,42.12883,297.25,0.73,0.76,2025-02-22,12,N,VIIRS,n,2,267.84,1.48,N,2
36.96072,42.08231,303.77,0.73,0.76,2025-02-22,12,N,VIIRS,n,2,267.06,1.25,N,2
36.96334,42.08244,327.74,0.73,0.76,2025-02-22,12,N,VIIRS,n,2,267.89,3.92,N,2
36.96735,42.08555,316.33,0.73,0.76,2025-02-22,12,N,VIIRS,n,2,267.44,1.57,N,2
38.73692,26.94903,309.62,0.4,0.37,2025-02-22,12,N,VIIRS,n,2,273.65,1.96,N,2
38.73771,26.9445,328.38,0.4,0.37,2025-02-22,12,N,VIIRS,n,2,276.63,1.96,N,2
38.74006,26.93085,306.37,0.4,0.37,2025-02-22,12,N,VIIRS,n,2,275.7,1.34,N,2
38.74104,26.94543,297.5,0.4,0.37,2025-02-22,12,N,VIIRS,n,2,272.33,0.88,N,2
38.74339,26.93179,304.21,0.4,0.37,2025-02-22,12,N,VIIRS,n,2,271.68,0.72,N,2
40.44147,27.14096,302.18,0.39,0.36,2025-02-22,12,N,VIIRS,n,2,270.16,1.19,N,2
41.63496,27.50778,298.06,0.39,0.36,2025-02-22,12,N,VIIRS,n,2,268.3,0.59,N,2
37.2544,30.44301,298.72,0.55,0.43,2025-02-22,13,N,VIIRS,n,2,269.23,1.3,N,2
38.42595,27.21603,303.09,0.41,0.37,2025-02-22,13,N,VIIRS,n,2,272.91,1.12,N,2
