latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
35.62857,44.00928,356.13,0.51,0.49,2026-05-03,1043,N,VIIRS,n,2.0NRT,310.51,17.13,D
35.66164,43.96478,343.72,0.5,0.49,2026-05-03,1043,N,VIIRS,n,2.0NRT,308.44,16.97,D
35.686,43.87659,353.93,0.5,0.49,2026-05-03,1043,N,VIIRS,n,2.0NRT,299.41,55.95,D
35.6861,43.87369,337.56,0.5,0.49,2026-05-03,1043,N,VIIRS,n,2.0NRT,290.98,39.61,D
35.6865,43.88218,339.72,0.5,0.49,2026-05-03,1043,N,VIIRS,n,2.0NRT,288.9,27.09,D
35.68657,43.87931,349.99,0.5,0.49,2026-05-03,1043,N,VIIRS,n,2.0NRT,297.32,39.61,D
35.72357,44.04559,337.29,0.51,0.49,2026-05-03,1043,N,VIIRS,n,2.0NRT,303.34,8.03,D
35.72766,44.03922,340.72,0.51,0.49,2026-05-03,1043,N,VIIRS,n,2.0NRT,302.01,8.03,D
35.72815,44.04493,330.19,0.51,0.49,2026-05-03,1043,N,VIIRS,n,2.0NRT,302.34,8.03,D
35.77048,43.99874,331.88,0.51,0.49,2026-05-03,1043,N,VIIRS,n,2.0NRT,298.55,1.73,D
35.98082,43.76955,342.94,0.5,0.49,2026-05-03,1043,N,VIIRS,n,2.0NRT,303.74,5.04,D
35.9822,43.77292,341.29,0.5,0.49,2026-05-03,1043,N,VIIRS,n,2.0NRT,301.76,9.07,D
36.02034,43.68407,336.36,0.49,0.49,2026-05-03,1043,N,VIIRS,n,2.0NRT,302.31,3.5,D
36.94174,42.17273,338.02,0.42,0.45,2026-05-03,1043,N,VIIRS,n,2.0NRT,296.45,3.75,D
36.14195,40.81446,311.57,0.42,0.37,2026-05-03,2305,N,VIIRS,n,2.0NRT,286.03,1.09,N
36.16647,41.04644,299.88,0.41,0.37,2026-05-03,2305,N,VIIRS,n,2.0NRT,284.86,0.5,N
36.45843,41.27986,299.77,0.41,0.37,2026-05-03,2305,N,VIIRS,n,2.0NRT,284.41,0.48,N
36.7188,36.20023,342.81,0.44,0.46,2026-05-03,2305,N,VIIRS,n,2.0NRT,273.49,5.24,N
36.79922,37.01773,304.13,0.4,0.45,2026-05-03,2305,N,VIIRS,n,2.0NRT,283.15,0.68,N
36.93427,42.13123,320.12,0.39,0.37,2026-05-03,2305,N,VIIRS,n,2.0NRT,285.56,1.22,N
36.93761,42.13199,312.09,0.39,0.37,2026-05-03,2305,N,VIIRS,n,2.0NRT,286.53,1.22,N
36.93889,42.12317,299.51,0.39,0.37,2026-05-03,2305,N,VIIRS,n,2.0NRT,285.09,0.61,N
36.93953,42.11876,300.6,0.39,0.37,2026-05-03,2305,N,VIIRS,n,2.0NRT,285.19,0.61,N
36.94187,42.17385,297.56,0.39,0.36,2026-05-03,2305,N,VIIRS,n,2.0NRT,286.03,1.08,N
36.9425,42.16945,328.1,0.39,0.36,2026-05-03,2305,N,VIIRS,n,2.0NRT,286.99,2.36,N
36.94493,42.1291,296.61,0.39,0.37,2026-05-03,2305,N,VIIRS,n,2.0NRT,285.3,0.48,N
36.94622,42.7817,297.82,0.39,0.36,2026-05-03,2305,N,VIIRS,n,2.0NRT,286.18,0.41,N
