latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
38.91158,32.16177,297.04,0.42,0.61,2026-09-09,48,N,VIIRS,n,2.0NRT,279.04,0.88,N
38.91431,32.16179,311.4,0.42,0.61,2026-09-09,48,N,VIIRS,n,2.0NRT,279.24,2.04,N
38.91698,32.16426,299.25,0.42,0.61,2026-09-09,48,N,VIIRS,n,2.0NRT,278.12,1.59,N
39.46409,34.98003,309.85,0.56,0.69,2026-09-09,48,N,VIIRS,n,2.0NRT,277.81,1.25,N
39.485,30.04208,309.06,0.32,0.55,2026-09-09,48,N,VIIRS,n,2.0NRT,284.4,1.13,N
39.4852,30.04095,307.53,0.32,0.54,2026-09-09,48,N,VIIRS,n,2.0NRT,283.8,1.07,N
39.74341,30.19918,295.04,0.32,0.55,2026-09-09,48,N,VIIRS,n,2.0NRT,282.94,0.89,N
39.85088,32.22218,309.11,0.4,0.6,2026-09-09,48,N,VIIRS,n,2.0NRT,282.39,0.7,N
40.06401,34.96566,296.99,0.54,0.68,2026-09-09,48,N,VIIRS,n,2.0NRT,276.56,1.66,N
40.16409,34.22033,316.03,0.49,0.65,2026-09-09,48,N,VIIRS,n,2.0NRT,281.7,2.51,N
40.16577,34.21473,307.33,0.49,0.65,2026-09-09,48,N,VIIRS,n,2.0NRT,281.64,2.35,N
40.43685,34.11112,300.21,0.48,0.65,2026-09-09,48,N,VIIRS,n,2.0NRT,280.9,1.68,N
40.44399,34.10891,300.93,0.48,0.64,2026-09-09,48,N,VIIRS,n,2.0NRT,281.55,1.57,N
40.44618,34.12332,305.02,0.48,0.65,2026-09-09,48,N,VIIRS,n,2.0NRT,281.74,1.82,N
40.56561,34.03658,311.79,0.47,0.64,2026-09-09,48,N,VIIRS,n,2.0NRT,281.03,1.95,N
40.58676,34.54851,296.86,0.5,0.66,2026-09-09,48,N,VIIRS,n,2.0NRT,281.19,1.17,N
40.58677,34.41288,298.81,0.49,0.65,2026-09-09,48,N,VIIRS,n,2.0NRT,280.88,2.78,N
40.59064,34.42181,316.28,0.49,0.65,2026-09-09,48,N,VIIRS,n,2.0NRT,281.17,2.14,N
40.59126,34.55147,298.02,0.5,0.66,2026-09-09,48,N,VIIRS,n,2.0NRT,282.09,1.14,N
40.75586,29.76451,302.64,0.57,0.52,2026-09-09,48,N,VIIRS,n,2.0NRT,288.9,2.12,N
41.01944,28.55371,310.12,0.49,0.49,2026-09-09,48,N,VIIRS,n,2.0NRT,289.04,1.49,N
41.17469,32.63185,305.16,0.39,0.59,2026-09-09,48,N,VIIRS,n,2.0NRT,285.23,1.17,N
41.17981,32.63461,296.43,0.39,0.59,2026-09-09,48,N,VIIRS,n,2.0NRT,286.27,1.01,N
41.23987,36.46598,306.21,0.58,0.7,2026-09-09,48,N,VIIRS,n,2.0NRT,283.93,1.93,N
41.24107,36.46551,310.74,0.58,0.7,2026-09-09,48,N,VIIRS,n,2.0NRT,284.16,1.47,N
41.25221,31.41103,306.26,0.33,0.56,2026-09-09,48,N,VIIRS,n,2.0NRT,286.36,1.09,N
41.25476,31.41469,330.36,0.34,0.56,2026-09-09,48,N,VIIRS,n,2.0NRT,287.11,3.04,N
41.25563,31.43224,302.28,0.34,0.56,2026-09-09,48,N,VIIRS,n,2.0NRT,286.77,0.43,N
41.2566,31.42859,298.72,0.34,0.56,2026-09-09,48,N,VIIRS,n,2.0NRT,286.63,0.43,N
41.25707,31.41348,327.34,0.33,0.56,2026-09-09,48,N,VIIRS,n,2.0NRT,286.96,1.99,N
41.25787,31.43091,299.81,0.34,0.56,2026-09-09,48,N,VIIRS,n,2.0NRT,286.91,0.86,N
41.25886,31.42727,311.27,0.34,0.56,2026-09-09,48,N,VIIRS,n,2.0NRT,287.6,0.86,N
41.26479,31.42577,305.44,0.34,0.56,2026-09-09,48,N,VIIRS,n,2.0NRT,290.4,1.54,N
41.56573,32.42927,300.65,0.37,0.58,2026-09-09,48,N,VIIRS,n,2.0NRT,285.64,0.62,N
