latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
39.48596,30.0429,299.56,0.54,0.68,2024-10-20,54,N,VIIRS,n,2,273.62,1.03,N,2
39.86676,26.2459,308.83,0.34,0.56,2024-10-20,54,N,VIIRS,n,2,284.0,1.44,N,2
41.02061,28.55565,309.59,0.42,0.61,2024-10-20,54,N,VIIRS,n,2,281.72,1.22,N,2
41.17402,32.63458,308.17,0.64,0.72,2024-10-20,54,N,VIIRS,n,2,278.32,2.71,N,2
41.72029,26.76768,308.32,0.33,0.55,2024-10-20,54,N,VIIRS,n,2,275.97,0.79,N,0
41.79743,26.70278,300.59,0.32,0.55,2024-10-20,54,N,VIIRS,n,2,277.28,0.78,N,2
38.38654,30.75998,296.35,0.63,0.72,2024-10-20,55,N,VIIRS,n,2,269.56,0.84,N,0
38.45383,27.26195,296.36,0.42,0.61,2024-10-20,55,N,VIIRS,n,2,282.49,0.58,N,2
38.73591,26.94935,295.91,0.4,0.6,2024-10-20,55,N,VIIRS,n,2,282.49,0.79,N,2
38.73713,26.94497,305.22,0.4,0.6,2024-10-20,55,N,VIIRS,n,2,287.04,0.79,N,2
38.73779,26.94626,306.54,0.4,0.6,2024-10-20,55,N,VIIRS,n,2,287.63,1.47,N,2
38.74116,26.95187,304.93,0.4,0.6,2024-10-20,55,N,VIIRS,n,2,283.02,0.79,N,2
38.74183,26.95327,302.77,0.4,0.6,2024-10-20,55,N,VIIRS,n,2,282.34,0.72,N,0
38.74769,26.9498,305.33,0.4,0.6,2024-10-20,55,N,VIIRS,n,2,282.88,0.7,N,2
38.74834,26.95115,300.63,0.4,0.6,2024-10-20,55,N,VIIRS,n,2,282.61,0.72,N,2
38.75201,26.93762,296.51,0.4,0.6,2024-10-20,55,N,VIIRS,n,2,280.71,0.47,N,0
38.76395,27.4696,312.88,0.42,0.61,2024-10-20,55,N,VIIRS,n,2,275.15,1.84,N,0
35.52472,44.34633,354.1,0.72,0.76,2024-10-20,854,N,VIIRS,n,2,301.78,8.32,D,2
35.52633,44.34644,351.39,0.72,0.76,2024-10-20,854,N,VIIRS,n,2,301.77,6.18,D,2
35.5305,44.33533,331.65,0.72,0.76,2024-10-20,854,N,VIIRS,n,2,299.36,6.18,D,2
35.53141,44.34335,342.98,0.72,0.76,2024-10-20,854,N,VIIRS,n,2,301.02,9.17,D,2
