latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
40.75601,29.76534,300.32,0.7,0.75,2026-08-01,117,N,VIIRS,n,2.0NRT,289.12,1.83,N
37.62574,28.1623,312.79,0.73,0.76,2026-08-01,120,N,VIIRS,n,2.0NRT,290.29,2.57,N
37.6266,28.16437,307.5,0.73,0.76,2026-08-01,120,N,VIIRS,n,2.0NRT,290.0,2.96,N
37.62746,28.1571,309.35,0.73,0.76,2026-08-01,120,N,VIIRS,n,2.0NRT,291.99,2.57,N
37.6283,28.15914,316.7,0.73,0.76,2026-08-01,120,N,VIIRS,n,2.0NRT,291.87,5.77,N
37.63221,28.16605,300.47,0.73,0.76,2026-08-01,120,N,VIIRS,n,2.0NRT,290.21,2.14,N
38.74186,26.9471,304.96,0.59,0.7,2026-08-01,120,N,VIIRS,n,2.0NRT,293.05,2.81,N
38.75288,26.93678,308.09,0.59,0.7,2026-08-01,120,N,VIIRS,n,2.0NRT,291.84,1.09,N
39.09088,27.51189,299.87,0.61,0.71,2026-08-01,120,N,VIIRS,n,2.0NRT,289.46,0.71,N
39.11744,27.51897,302.25,0.61,0.71,2026-08-01,120,N,VIIRS,n,2.0NRT,289.96,1.45,N
39.86719,26.24405,304.0,0.51,0.66,2026-08-01,120,N,VIIRS,n,2.0NRT,292.71,1.14,N
41.01834,28.55098,302.36,0.6,0.71,2026-08-01,120,N,VIIRS,n,2.0NRT,290.43,1.57,N
35.52841,44.34364,355.89,0.48,0.65,2026-08-01,920,N,VIIRS,n,2.0NRT,313.06,12.08,D
35.52972,44.33921,356.33,0.48,0.64,2026-08-01,920,N,VIIRS,n,2.0NRT,312.34,9.0,D
35.53416,44.34133,352.04,0.48,0.65,2026-08-01,920,N,VIIRS,n,2.0NRT,312.0,6.11,D
35.62638,44.01028,367.0,0.49,0.65,2026-08-01,920,N,VIIRS,h,2.0NRT,315.68,15.99,D
35.63214,44.00764,348.5,0.49,0.65,2026-08-01,920,N,VIIRS,n,2.0NRT,308.98,15.99,D
