latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
38.4371,31.85431,299.29,0.73,0.76,2026-07-22,105,N,VIIRS,n,2.0NRT,285.63,2.71,N
38.44103,31.85704,329.12,0.73,0.76,2026-07-22,105,N,VIIRS,n,2.0NRT,286.94,3.82,N
38.44366,31.85787,316.1,0.73,0.76,2026-07-22,105,N,VIIRS,n,2.0NRT,286.68,2.71,N
38.65973,30.61767,298.81,0.63,0.72,2026-07-22,105,N,VIIRS,n,2.0NRT,287.61,0.95,N
39.1168,27.51739,302.78,0.43,0.62,2026-07-22,105,N,VIIRS,n,2.0NRT,290.3,1.01,N
39.12152,27.51741,302.86,0.43,0.62,2026-07-22,105,N,VIIRS,n,2.0NRT,289.93,0.57,N
39.48487,30.0373,306.43,0.56,0.69,2026-07-22,105,N,VIIRS,n,2.0NRT,286.14,1.75,N
39.48607,30.04062,306.46,0.56,0.69,2026-07-22,105,N,VIIRS,n,2.0NRT,286.73,1.63,N
39.8686,26.24313,305.6,0.35,0.57,2026-07-22,105,N,VIIRS,n,2.0NRT,291.59,1.39,N
40.30086,27.19816,318.34,0.38,0.59,2026-07-22,105,N,VIIRS,n,2.0NRT,289.31,1.28,N
40.75849,29.7595,305.21,0.49,0.65,2026-07-22,105,N,VIIRS,n,2.0NRT,291.32,2.02,N
40.76817,29.52596,304.03,0.48,0.65,2026-07-22,105,N,VIIRS,n,2.0NRT,291.97,1.38,N
41.02279,28.55422,308.93,0.43,0.62,2026-07-22,105,N,VIIRS,n,2.0NRT,290.42,0.99,N
41.17564,32.62757,300.74,0.66,0.73,2026-07-22,105,N,VIIRS,n,2.0NRT,286.71,1.25,N
41.17783,32.62665,296.7,0.66,0.73,2026-07-22,105,N,VIIRS,n,2.0NRT,286.24,1.81,N
41.25427,31.41038,321.62,0.57,0.69,2026-07-22,105,N,VIIRS,n,2.0NRT,288.84,3.26,N
41.25608,31.41023,320.24,0.57,0.69,2026-07-22,105,N,VIIRS,n,2.0NRT,288.54,2.72,N
41.25789,31.42659,300.52,0.57,0.69,2026-07-22,105,N,VIIRS,n,2.0NRT,288.38,1.73,N
41.26416,31.42374,304.25,0.57,0.69,2026-07-22,105,N,VIIRS,n,2.0NRT,290.07,2.56,N
41.26598,31.42346,304.56,0.57,0.69,2026-07-22,105,N,VIIRS,n,2.0NRT,290.3,2.68,N
37.25231,30.4401,306.05,0.68,0.74,2026-07-22,107,N,VIIRS,n,2.0NRT,291.73,0.98,N
37.25432,30.43911,305.65,0.67,0.74,2026-07-22,107,N,VIIRS,n,2.0NRT,292.52,1.48,N
37.83395,29.35447,308.86,0.57,0.69,2026-07-22,107,N,VIIRS,n,2.0NRT,288.86,0.93,N
38.73659,26.94383,307.05,0.41,0.61,2026-07-22,107,N,VIIRS,n,2.0NRT,294.53,1.47,N
38.73993,26.94707,304.99,0.41,0.61,2026-07-22,107,N,VIIRS,n,2.0NRT,293.89,2.09,N
