latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
39.86506,26.24424,295.55,0.58,0.52,2023-11-30,49,N,VIIRS,n,2,284.51,0.85,N,2
35.52723,44.34223,347.09,0.42,0.45,2023-11-30,1030,N,VIIRS,n,2,294.42,4.26,D,2
35.53143,44.34161,339.37,0.42,0.45,2023-11-30,1030,N,VIIRS,n,2,294.84,3.86,D,2
35.53518,44.33628,338.14,0.42,0.45,2023-11-30,1030,N,VIIRS,n,2,293.09,3.86,D,2
35.68317,43.87642,340.46,0.4,0.44,2023-11-30,1030,N,VIIRS,n,2,295.09,3.91,D,2
35.68439,43.87503,336.75,0.4,0.44,2023-11-30,1030,N,VIIRS,n,2,294.53,2.35,D,2
35.72774,44.03434,339.82,0.41,0.45,2023-11-30,1030,N,VIIRS,n,2,295.31,3.38,D,2
35.94352,43.72276,340.25,0.4,0.44,2023-11-30,1030,N,VIIRS,n,2,292.01,3.59,D,0
35.94396,43.72714,326.54,0.4,0.44,2023-11-30,1030,N,VIIRS,n,2,289.42,3.42,D,0
35.98162,43.77124,347.22,0.4,0.44,2023-11-30,1030,N,VIIRS,n,2,296.28,6.44,D,2
35.99709,43.76001,339.08,0.4,0.44,2023-11-30,1030,N,VIIRS,n,2,292.92,3.02,D,2
35.99755,43.76449,340.27,0.4,0.44,2023-11-30,1030,N,VIIRS,n,2,293.11,5.11,D,2
35.99975,43.7604,340.95,0.4,0.44,2023-11-30,1030,N,VIIRS,n,2,292.54,5.23,D,2
36.71791,39.4549,331.86,0.41,0.37,2023-11-30,1030,N,VIIRS,n,2,288.81,3.67,D,0
36.73022,39.49483,328.07,0.41,0.37,2023-11-30,1030,N,VIIRS,n,2,289.08,4.72,D,0
36.73825,36.21078,325.47,0.39,0.36,2023-11-30,1030,N,VIIRS,n,2,290.28,4.0,D,2
36.76624,39.44963,333.05,0.41,0.37,2023-11-30,1030,N,VIIRS,n,2,289.79,2.28,D,0
36.77088,39.4581,329.98,0.41,0.37,2023-11-30,1030,N,VIIRS,n,2,290.94,2.88,D,0
36.77341,38.9151,342.63,0.4,0.37,2023-11-30,1030,N,VIIRS,n,2,287.96,5.46,D,0
36.77523,39.13151,345.81,0.4,0.37,2023-11-30,1030,N,VIIRS,n,2,292.96,6.75,D,0
36.77691,39.37822,329.43,0.41,0.37,2023-11-30,1030,N,VIIRS,n,2,290.63,2.39,D,0
36.7863,38.95834,331.25,0.4,0.37,2023-11-30,1030,N,VIIRS,n,2,290.1,2.88,D,0
36.79499,39.43561,334.36,0.41,0.37,2023-11-30,1030,N,VIIRS,n,2,290.12,3.76,D,0
36.80143,39.45781,328.92,0.41,0.37,2023-11-30,1030,N,VIIRS,n,2,286.24,2.47,D,0
