latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
36.72054,36.19786,296.71,0.65,0.73,2024-02-03,31,N,VIIRS,n,2,278.56,1.84,N,2
36.73114,36.21088,298.41,0.65,0.73,2024-02-03,31,N,VIIRS,n,2,280.84,1.02,N,2
36.74527,36.20026,297.95,0.64,0.72,2024-02-03,31,N,VIIRS,n,2,277.88,1.43,N,2
36.74814,36.20298,299.41,0.64,0.72,2024-02-03,31,N,VIIRS,n,2,277.41,1.55,N,2
36.93594,30.64643,295.16,0.33,0.55,2024-02-03,31,N,VIIRS,n,2,277.89,0.47,N,2
38.73816,26.94439,301.76,0.39,0.44,2024-02-03,31,N,VIIRS,n,2,275.29,1.45,N,2
38.74603,26.94716,300.03,0.39,0.44,2024-02-03,31,N,VIIRS,n,2,274.59,1.65,N,2
35.52692,44.34225,345.93,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,292.76,5.32,D,2
35.53032,44.34156,337.0,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,293.61,5.32,D,2
35.66346,43.96469,344.4,0.4,0.37,2024-02-03,1011,N,VIIRS,n,2,284.03,9.23,D,2
35.68282,43.87576,330.42,0.4,0.37,2024-02-03,1011,N,VIIRS,n,2,291.03,4.08,D,2
36.77649,43.32545,341.45,0.39,0.36,2024-02-03,1011,N,VIIRS,n,2,290.34,6.13,D,2
37.00507,40.36573,347.6,0.39,0.37,2024-02-03,1011,N,VIIRS,n,2,290.32,4.44,D,0
37.01701,39.66711,330.76,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,288.81,2.3,D,0
37.05301,39.67172,345.65,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,294.79,9.04,D,0
37.11091,40.24395,337.33,0.4,0.37,2024-02-03,1011,N,VIIRS,n,2,288.72,3.39,D,0
37.11131,40.22543,353.68,0.4,0.37,2024-02-03,1011,N,VIIRS,n,2,295.65,11.71,D,0
37.11204,40.22985,350.12,0.4,0.37,2024-02-03,1011,N,VIIRS,n,2,292.35,11.71,D,0
37.11417,39.4525,329.64,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,288.59,1.63,D,0
37.11467,40.183,333.31,0.4,0.37,2024-02-03,1011,N,VIIRS,n,2,288.31,4.88,D,0
37.13099,40.15574,325.54,0.4,0.37,2024-02-03,1011,N,VIIRS,n,2,284.93,1.21,D,0
37.14686,40.18852,357.15,0.4,0.37,2024-02-03,1011,N,VIIRS,n,2,293.53,18.35,D,0
37.15179,40.51274,332.94,0.39,0.36,2024-02-03,1011,N,VIIRS,n,2,289.54,6.07,D,0
37.15942,39.51348,336.13,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,286.15,11.48,D,0
37.16099,39.52255,343.42,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,287.06,8.9,D,0
37.16147,39.62548,328.81,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,290.12,2.16,D,0
37.16257,39.53162,335.28,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,287.4,3.96,D,0
37.16475,40.12054,342.47,0.4,0.37,2024-02-03,1011,N,VIIRS,n,2,284.07,4.92,D,0
37.1683,39.54434,341.36,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,285.98,2.03,D,0
37.16895,40.23812,335.81,0.4,0.37,2024-02-03,1011,N,VIIRS,n,2,290.2,5.14,D,0
37.16988,39.55344,341.22,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,285.76,4.92,D,0
37.19404,39.57076,340.25,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,291.87,5.13,D,0
37.19587,40.09858,332.35,0.4,0.37,2024-02-03,1011,N,VIIRS,n,2,288.25,2.75,D,0
37.19735,40.10746,355.64,0.4,0.37,2024-02-03,1011,N,VIIRS,n,2,295.11,18.2,D,0
37.19883,40.15794,327.91,0.4,0.37,2024-02-03,1011,N,VIIRS,n,2,288.71,1.44,D,0
37.20134,39.65405,329.58,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,289.28,2.96,D,0
37.20212,39.65858,337.24,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,292.03,2.96,D,0
37.20217,40.11547,331.8,0.4,0.37,2024-02-03,1011,N,VIIRS,n,2,286.11,2.67,D,0
37.20471,39.65316,343.4,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,290.38,5.01,D,0
37.20549,39.65768,336.72,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,289.43,5.01,D,0
37.23182,40.08461,347.24,0.4,0.37,2024-02-03,1011,N,VIIRS,n,2,291.04,6.51,D,0
37.24794,39.61802,355.11,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,295.15,16.81,D,0
37.2513,39.61712,353.9,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,296.92,16.81,D,0
37.25208,39.62165,329.21,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,287.68,11.57,D,0
37.25756,40.0048,328.04,0.4,0.37,2024-02-03,1011,N,VIIRS,n,2,286.83,3.89,D,0
37.25831,40.00925,329.56,0.4,0.37,2024-02-03,1011,N,VIIRS,n,2,289.76,3.89,D,0
37.26629,39.78775,348.19,0.4,0.37,2024-02-03,1011,N,VIIRS,n,2,291.8,5.97,D,0
37.3017,39.51981,332.3,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,290.93,3.28,D,0
37.31833,39.53446,333.9,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,287.58,1.76,D,0
37.3217,39.53357,337.81,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,289.1,3.05,D,0
37.35952,39.4662,367.0,0.41,0.37,2024-02-03,1011,N,VIIRS,h,2,293.99,10.73,D,0
37.3882,39.51237,328.52,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,288.83,8.45,D,0
37.38898,39.51692,337.22,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,296.3,8.45,D,0
37.38955,39.54059,332.97,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,289.85,4.76,D,0
37.40149,39.20129,333.8,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,287.65,2.78,D,0
37.41345,39.43394,331.78,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,286.17,3.18,D,0
37.42842,39.21308,331.21,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,288.56,3.02,D,0
37.44702,39.18139,328.41,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,288.9,2.51,D,0
37.4542,39.40397,328.28,0.41,0.37,2024-02-03,1011,N,VIIRS,n,2,286.54,2.01,D,0
37.52605,39.14513,343.14,0.42,0.37,2024-02-03,1011,N,VIIRS,n,2,289.83,5.43,D,0
