latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
35.52673,44.34499,367.0,0.41,0.6,2025-04-13,914,N,VIIRS,h,2,305.78,5.67,D,2
35.52475,44.34179,342.99,0.41,0.6,2025-04-13,915,N,VIIRS,n,2,306.31,5.18,D,2
35.52595,44.34628,349.21,0.41,0.6,2025-04-13,915,N,VIIRS,n,2,303.07,9.91,D,2
35.53015,44.33972,367.0,0.41,0.6,2025-04-13,915,N,VIIRS,h,2,306.5,5.18,D,2
35.53556,44.33773,342.85,0.41,0.6,2025-04-13,915,N,VIIRS,n,2,305.05,2.61,D,2
35.63072,44.00787,367.0,0.42,0.61,2025-04-13,915,N,VIIRS,h,2,302.52,3.99,D,2
35.63193,44.01245,330.8,0.42,0.61,2025-04-13,915,N,VIIRS,n,2,303.67,3.99,D,2
35.66476,43.96586,356.38,0.42,0.61,2025-04-13,915,N,VIIRS,n,2,305.35,8.83,D,2
35.68334,43.87713,350.84,0.43,0.62,2025-04-13,915,N,VIIRS,n,2,310.78,19.57,D,2
35.68457,43.88176,337.06,0.43,0.62,2025-04-13,915,N,VIIRS,n,2,303.09,19.57,D,2
35.72747,44.04239,339.52,0.42,0.61,2025-04-13,915,N,VIIRS,n,2,305.42,4.36,D,2
35.73049,44.03115,336.41,0.42,0.61,2025-04-13,915,N,VIIRS,n,2,305.32,5.78,D,2
35.52542,44.34269,347.04,0.47,0.64,2025-04-13,1055,N,VIIRS,n,2,305.22,6.08,D,2
35.53119,44.33694,335.86,0.47,0.64,2025-04-13,1055,N,VIIRS,n,2,303.29,5.2,D,2
35.53144,44.34223,355.6,0.47,0.64,2025-04-13,1055,N,VIIRS,n,2,305.85,5.2,D,2
35.62603,44.01154,342.03,0.46,0.63,2025-04-13,1055,N,VIIRS,n,2,302.46,6.86,D,2
35.66256,43.96339,345.1,0.45,0.63,2025-04-13,1055,N,VIIRS,n,2,294.08,7.29,D,2
35.72565,44.04144,367.0,0.46,0.63,2025-04-13,1055,N,VIIRS,h,2,302.36,9.26,D,2
35.73131,44.0356,330.41,0.46,0.63,2025-04-13,1055,N,VIIRS,n,2,300.91,8.32,D,2
35.77091,43.99593,342.74,0.46,0.63,2025-04-13,1055,N,VIIRS,n,2,297.38,3.74,D,2
36.74586,36.19978,333.57,0.53,0.42,2025-04-13,1055,N,VIIRS,n,2,301.97,3.17,D,2
36.74675,36.20358,333.02,0.53,0.42,2025-04-13,1055,N,VIIRS,n,2,302.12,3.77,D,2
36.86459,35.12761,341.76,0.48,0.4,2025-04-13,1056,N,VIIRS,n,2,303.77,3.77,D,0
37.13001,30.66117,335.02,0.38,0.36,2025-04-13,1056,N,VIIRS,n,2,297.11,1.66,D,0
