latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
41.17263,32.63157,298.59,0.54,0.68,2026-09-19,100,N,VIIRS,n,2.0NRT,284.36,0.87,N
41.17453,32.6336,303.43,0.54,0.68,2026-09-19,100,N,VIIRS,n,2.0NRT,285.24,2.03,N
41.17841,32.63512,297.32,0.54,0.68,2026-09-19,100,N,VIIRS,n,2.0NRT,285.29,0.87,N
37.25444,30.44466,298.79,0.55,0.68,2026-09-19,102,N,VIIRS,n,2.0NRT,285.75,0.97,N
38.42408,27.21572,300.38,0.35,0.57,2026-09-19,102,N,VIIRS,n,2.0NRT,289.17,1.11,N
38.46852,27.5509,296.53,0.36,0.58,2026-09-19,102,N,VIIRS,n,2.0NRT,286.19,0.28,N
39.08993,27.51472,299.65,0.35,0.57,2026-09-19,102,N,VIIRS,n,2.0NRT,286.41,0.45,N
39.09095,27.51086,300.32,0.35,0.57,2026-09-19,102,N,VIIRS,n,2.0NRT,286.77,1.06,N
39.11488,27.52613,302.17,0.35,0.57,2026-09-19,102,N,VIIRS,n,2.0NRT,286.35,0.42,N
39.1152,27.52442,303.98,0.35,0.57,2026-09-19,102,N,VIIRS,n,2.0NRT,286.76,0.7,N
39.11585,27.52244,299.74,0.35,0.57,2026-09-19,102,N,VIIRS,n,2.0NRT,287.09,0.74,N
39.48383,30.04202,300.55,0.46,0.63,2026-09-19,102,N,VIIRS,n,2.0NRT,282.68,1.34,N
39.70892,30.15399,295.21,0.46,0.63,2026-09-19,102,N,VIIRS,n,2.0NRT,281.37,0.86,N
40.42441,29.26869,301.3,0.39,0.6,2026-09-19,102,N,VIIRS,n,2.0NRT,287.11,0.61,N
40.44242,27.13954,303.22,0.62,0.54,2026-09-19,102,N,VIIRS,n,2.0NRT,290.41,1.26,N
40.44372,27.1394,302.49,0.62,0.54,2026-09-19,102,N,VIIRS,n,2.0NRT,290.25,3.1,N
40.75341,29.76319,300.53,0.41,0.6,2026-09-19,102,N,VIIRS,n,2.0NRT,287.46,0.94,N
40.75473,29.75861,298.29,0.41,0.6,2026-09-19,102,N,VIIRS,n,2.0NRT,287.8,0.94,N
40.75546,29.76304,309.0,0.41,0.6,2026-09-19,102,N,VIIRS,n,2.0NRT,287.18,0.94,N
40.76009,29.761,300.37,0.41,0.6,2026-09-19,102,N,VIIRS,n,2.0NRT,288.54,1.09,N
41.02053,28.55403,314.59,0.35,0.57,2026-09-19,102,N,VIIRS,n,2.0NRT,287.65,1.25,N
41.072,26.52138,297.27,0.55,0.51,2026-09-19,102,N,VIIRS,n,2.0NRT,284.27,0.6,N
41.07335,26.52178,297.13,0.55,0.51,2026-09-19,102,N,VIIRS,n,2.0NRT,284.31,0.61,N
