latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
40.00959,44.18666,299.46,0.52,0.67,2025-10-10,1,N,VIIRS,n,2,283.87,0.82,N,0
35.51326,44.37331,305.61,0.71,0.75,2025-10-10,2,N,VIIRS,n,2,287.19,0.76,N,2
35.52268,44.34327,301.08,0.71,0.75,2025-10-10,2,N,VIIRS,n,2,286.53,1.67,N,2
35.52935,44.34616,305.98,0.71,0.75,2025-10-10,2,N,VIIRS,n,2,286.56,5.38,N,2
35.5317,44.33866,352.34,0.71,0.75,2025-10-10,2,N,VIIRS,n,2,288.84,5.38,N,2
35.53408,44.33105,301.06,0.71,0.75,2025-10-10,2,N,VIIRS,n,2,286.93,6.31,N,2
35.53755,44.3386,300.43,0.71,0.75,2025-10-10,2,N,VIIRS,n,2,286.61,1.1,N,2
35.56331,44.28145,299.49,0.7,0.75,2025-10-10,2,N,VIIRS,n,2,286.16,0.6,N,2
35.56383,44.28419,297.65,0.7,0.75,2025-10-10,2,N,VIIRS,n,2,286.75,0.39,N,2
35.62689,44.0088,367.0,0.68,0.74,2025-10-10,2,N,VIIRS,h,2,289.4,12.1,N,2
35.62911,44.00164,321.25,0.68,0.74,2025-10-10,2,N,VIIRS,n,2,288.0,12.19,N,2
35.66231,43.96629,340.99,0.67,0.74,2025-10-10,2,N,VIIRS,n,2,288.95,4.68,N,2
35.66339,43.96468,349.71,0.67,0.74,2025-10-10,2,N,VIIRS,n,2,289.8,7.32,N,2
35.66459,43.95891,306.41,0.67,0.74,2025-10-10,2,N,VIIRS,n,2,287.11,4.68,N,2
35.67624,44.06604,299.91,0.68,0.74,2025-10-10,2,N,VIIRS,n,2,287.93,1.44,N,2
35.67693,44.06401,299.58,0.68,0.74,2025-10-10,2,N,VIIRS,n,2,288.0,0.95,N,2
35.67814,43.89082,296.58,0.67,0.73,2025-10-10,2,N,VIIRS,n,2,286.08,3.68,N,0
35.67955,43.88956,298.74,0.67,0.73,2025-10-10,2,N,VIIRS,n,2,286.07,3.63,N,0
35.68032,43.88375,302.38,0.67,0.73,2025-10-10,2,N,VIIRS,n,2,286.25,3.68,N,2
35.68177,43.8825,308.55,0.67,0.73,2025-10-10,2,N,VIIRS,n,2,286.51,10.23,N,2
35.68254,43.87656,351.55,0.67,0.73,2025-10-10,2,N,VIIRS,n,2,290.27,23.01,N,2
35.68404,43.87528,356.69,0.67,0.73,2025-10-10,2,N,VIIRS,n,2,292.42,10.23,N,2
35.68476,43.86932,326.26,0.67,0.73,2025-10-10,2,N,VIIRS,n,2,286.64,23.01,N,2
35.68628,43.86813,312.18,0.67,0.73,2025-10-10,2,N,VIIRS,n,2,286.08,28.77,N,2
35.68679,43.88671,297.3,0.67,0.73,2025-10-10,2,N,VIIRS,n,2,286.03,1.93,N,2
35.68826,43.88542,296.9,0.67,0.73,2025-10-10,2,N,VIIRS,n,2,285.86,10.23,N,0
35.68901,43.87947,310.75,0.67,0.73,2025-10-10,2,N,VIIRS,n,2,286.7,1.65,N,2
35.69052,43.87819,302.37,0.67,0.73,2025-10-10,2,N,VIIRS,n,2,286.13,10.23,N,2
35.69124,43.87225,298.82,0.67,0.73,2025-10-10,2,N,VIIRS,n,2,286.13,1.65,N,0
