latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
35.52447,44.34322,345.14,0.55,0.51,2025-07-12,928,N,VIIRS,n,2,311.91,24.05,D,2
35.52906,44.34165,352.16,0.55,0.51,2025-07-12,928,N,VIIRS,n,2,311.9,14.89,D,2
35.52972,44.339,345.25,0.55,0.51,2025-07-12,928,N,VIIRS,n,2,312.17,15.45,D,2
35.53366,44.3401,344.75,0.55,0.51,2025-07-12,928,N,VIIRS,n,2,308.94,14.89,D,2
35.85814,36.02264,342.12,0.73,0.76,2025-07-12,929,N,VIIRS,n,2,302.58,14.31,D,0
35.85978,36.02131,338.5,0.73,0.76,2025-07-12,929,N,VIIRS,n,2,302.67,8.66,D,0
35.86028,36.00517,337.17,0.73,0.76,2025-07-12,929,N,VIIRS,n,2,306.28,6.49,D,0
35.86251,36.01222,335.49,0.73,0.76,2025-07-12,929,N,VIIRS,n,2,304.74,6.49,D,0
35.88393,35.98286,367.0,0.73,0.76,2025-07-12,929,N,VIIRS,h,2,309.74,32.33,D,0
35.88595,35.98923,346.1,0.73,0.76,2025-07-12,929,N,VIIRS,n,2,308.05,35.16,D,0
36.81638,37.34709,354.36,0.59,0.7,2025-07-12,929,N,VIIRS,n,2,321.2,18.2,D,0
36.81752,37.3492,353.97,0.59,0.7,2025-07-12,929,N,VIIRS,n,2,321.53,19.81,D,0
36.90512,43.38992,343.33,0.57,0.52,2025-07-12,929,N,VIIRS,n,2,307.56,6.04,D,2
37.30057,37.13133,344.73,0.59,0.7,2025-07-12,929,N,VIIRS,n,2,307.55,9.12,D,0
37.30156,37.13699,367.0,0.59,0.7,2025-07-12,929,N,VIIRS,h,2,312.32,17.35,D,0
37.30254,37.13781,355.31,0.59,0.7,2025-07-12,929,N,VIIRS,n,2,310.74,9.12,D,0
37.63139,39.43805,351.28,0.44,0.62,2025-07-12,929,N,VIIRS,n,2,322.47,18.48,D,0
35.62743,44.00713,353.4,0.68,0.74,2025-07-12,1109,N,VIIRS,n,2,305.94,8.9,D,2
35.62761,44.0149,347.54,0.69,0.74,2025-07-12,1109,N,VIIRS,n,2,307.61,8.9,D,2
35.66026,43.97011,367.0,0.68,0.74,2025-07-12,1109,N,VIIRS,h,2,310.08,32.02,D,2
35.66137,43.9662,367.0,0.68,0.74,2025-07-12,1109,N,VIIRS,h,2,310.23,24.1,D,2
35.72469,44.04633,347.01,0.69,0.74,2025-07-12,1109,N,VIIRS,n,2,310.16,32.15,D,2
35.82249,36.03825,337.75,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,307.37,2.46,D,0
35.85604,36.00376,353.08,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,310.69,17.34,D,0
35.85752,36.02045,349.6,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,307.67,15.38,D,0
35.86052,36.00288,367.0,0.49,0.49,2025-07-12,1109,N,VIIRS,h,2,311.62,9.92,D,0
35.86102,36.00841,354.63,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,314.89,27.74,D,0
35.86155,36.0144,356.02,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,312.27,27.74,D,0
35.86211,36.02066,341.12,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,309.03,6.05,D,0
35.86506,36.00254,342.26,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,310.67,9.92,D,0
35.86558,36.00833,354.91,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,311.37,27.74,D,0
35.86613,36.0144,367.0,0.49,0.49,2025-07-12,1109,N,VIIRS,h,2,308.98,27.74,D,0
35.8666,36.00593,355.87,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,311.15,14.56,D,0
35.86668,36.02054,336.86,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,304.19,6.05,D,0
35.8671,36.01191,346.69,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,308.22,9.92,D,0
35.8676,36.01802,341.75,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,304.69,9.92,D,0
35.87069,36.01432,342.58,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,308.13,11.68,D,0
35.87072,36.00046,352.36,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,309.83,14.56,D,0
35.87166,36.01183,347.58,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,307.5,9.92,D,0
35.8742,36.00251,343.55,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,308.34,6.19,D,0
35.87572,36.00565,335.88,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,309.45,8.17,D,0
35.87578,35.96933,343.28,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,312.14,6.21,D,0
35.87619,36.01134,336.03,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,309.59,17.33,D,0
35.87623,35.9743,344.55,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,317.89,13.6,D,0
35.87745,35.97182,354.63,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,317.64,13.37,D,0
35.87756,35.93845,342.21,0.49,0.48,2025-07-12,1109,N,VIIRS,n,2,307.87,4.38,D,0
35.87804,35.94382,344.34,0.49,0.48,2025-07-12,1109,N,VIIRS,n,2,308.41,7.32,D,0
35.87874,36.00215,339.39,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,311.53,6.35,D,0
35.87924,36.00774,367.0,0.49,0.49,2025-07-12,1109,N,VIIRS,h,2,318.23,25.95,D,0
35.87942,35.94121,356.65,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,308.6,10.24,D,0
35.87975,36.0133,354.55,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,314.03,25.95,D,0
35.88021,35.96792,353.99,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,312.54,6.21,D,0
35.88021,36.01854,342.81,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,309.66,14.34,D,0
35.88026,36.0053,353.23,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,312.21,8.17,D,0
35.88073,36.01091,367.0,0.49,0.49,2025-07-12,1109,N,VIIRS,h,2,313.6,17.33,D,0
35.88118,36.01629,352.57,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,310.19,17.33,D,0
35.88146,35.96534,341.31,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,307.64,5.88,D,0
35.8868,35.97461,355.36,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,311.58,8.23,D,0
35.88733,35.98077,341.22,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,308.37,8.23,D,0
35.88786,35.98709,355.34,0.49,0.49,2025-07-12,1109,N,VIIRS,n,2,315.53,33.07,D,0
