latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
36.7171,36.20222,301.08,0.37,0.58,2026-01-08,17,N,VIIRS,n,2,280.17,0.73,N,2
36.71812,36.19836,301.95,0.37,0.58,2026-01-08,17,N,VIIRS,n,2,281.26,1.31,N,2
36.73154,36.21251,304.47,0.37,0.58,2026-01-08,17,N,VIIRS,n,2,284.0,1.87,N,2
36.74604,36.20081,296.03,0.37,0.58,2026-01-08,17,N,VIIRS,n,2,279.79,0.69,N,2
36.2632,33.72951,300.52,0.56,0.52,2026-01-08,18,N,VIIRS,n,2,281.69,1.25,N,2
35.52546,44.34201,333.19,0.42,0.38,2026-01-08,957,N,VIIRS,n,2,292.81,6.36,D,2
35.52887,44.34113,346.26,0.42,0.38,2026-01-08,957,N,VIIRS,n,2,292.34,6.36,D,2
35.53228,44.34024,342.42,0.42,0.38,2026-01-08,957,N,VIIRS,n,2,291.48,4.27,D,2
35.53569,44.33936,328.96,0.42,0.38,2026-01-08,957,N,VIIRS,n,2,289.46,4.27,D,2
35.66136,43.96492,340.99,0.43,0.38,2026-01-08,957,N,VIIRS,n,2,302.05,12.46,D,2
35.72646,44.0418,343.34,0.42,0.38,2026-01-08,957,N,VIIRS,n,2,290.88,6.91,D,2
35.72824,44.0316,325.88,0.42,0.38,2026-01-08,957,N,VIIRS,n,2,291.45,2.84,D,2
35.77219,43.99571,339.7,0.43,0.38,2026-01-08,957,N,VIIRS,n,2,293.43,3.24,D,2
36.0438,43.86023,332.28,0.43,0.38,2026-01-08,957,N,VIIRS,n,2,290.98,4.16,D,0
36.38651,43.92489,326.81,0.42,0.38,2026-01-08,957,N,VIIRS,n,2,291.63,2.69,D,0
36.4422,43.82352,335.09,0.42,0.38,2026-01-08,957,N,VIIRS,n,2,291.71,3.49,D,0
36.59522,43.51849,326.37,0.43,0.38,2026-01-08,957,N,VIIRS,n,2,290.32,1.66,D,0
36.7752,43.32446,341.4,0.44,0.38,2026-01-08,957,N,VIIRS,n,2,294.32,7.05,D,2
36.94788,42.13172,327.39,0.48,0.4,2026-01-08,957,N,VIIRS,n,2,290.49,1.94,D,2
37.14811,42.49134,332.64,0.46,0.39,2026-01-08,957,N,VIIRS,n,2,290.85,3.47,D,0
36.80722,39.56043,348.63,0.42,0.45,2026-01-08,958,N,VIIRS,n,2,274.99,6.07,D,0
36.96567,40.28179,332.97,0.38,0.43,2026-01-08,958,N,VIIRS,n,2,288.46,2.75,D,0
36.967,40.34774,338.12,0.57,0.43,2026-01-08,958,N,VIIRS,n,2,289.76,5.55,D,0
