latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
41.02043,28.55538,298.95,0.71,0.75,2026-05-18,122,N,VIIRS,n,2.0NRT,280.88,2.49,N
38.73623,26.9417,299.35,0.7,0.75,2026-05-18,124,N,VIIRS,n,2.0NRT,284.58,1.25,N
38.74265,26.94538,295.56,0.7,0.75,2026-05-18,124,N,VIIRS,n,2.0NRT,283.82,1.25,N
38.75163,26.94126,296.37,0.7,0.75,2026-05-18,124,N,VIIRS,n,2.0NRT,282.85,1.27,N
38.75412,26.93365,297.67,0.7,0.75,2026-05-18,124,N,VIIRS,n,2.0NRT,282.36,1.82,N
35.52721,44.34269,343.45,0.4,0.6,2026-05-18,924,N,VIIRS,n,2.0NRT,301.54,3.87,D
35.53254,44.34067,347.5,0.4,0.6,2026-05-18,924,N,VIIRS,n,2.0NRT,301.0,3.87,D
35.62694,44.01183,367.0,0.41,0.61,2026-05-18,924,N,VIIRS,h,2.0NRT,304.33,8.2,D
35.63229,44.00955,367.0,0.41,0.61,2026-05-18,924,N,VIIRS,h,2.0NRT,300.01,8.2,D
35.66193,43.96434,352.45,0.41,0.61,2026-05-18,924,N,VIIRS,n,2.0NRT,302.9,6.45,D
35.68348,43.87529,342.51,0.41,0.61,2026-05-18,924,N,VIIRS,n,2.0NRT,301.64,23.63,D
35.68468,43.87973,367.0,0.41,0.61,2026-05-18,924,N,VIIRS,h,2.0NRT,306.75,23.63,D
35.68748,43.8804,367.0,0.41,0.61,2026-05-18,924,N,VIIRS,h,2.0NRT,300.59,35.93,D
35.7223,44.04145,347.64,0.41,0.6,2026-05-18,924,N,VIIRS,n,2.0NRT,293.44,2.18,D
35.72417,44.04272,367.0,0.41,0.6,2026-05-18,924,N,VIIRS,h,2.0NRT,291.43,6.61,D
35.72773,44.03957,335.56,0.41,0.6,2026-05-18,924,N,VIIRS,n,2.0NRT,297.96,2.18,D
36.94175,42.17438,327.59,0.47,0.64,2026-05-18,924,N,VIIRS,n,2.0NRT,295.75,2.83,D
35.53164,44.34057,336.08,0.49,0.65,2026-05-18,1104,N,VIIRS,n,2.0NRT,297.69,3.18,D
35.68282,43.87448,344.82,0.46,0.64,2026-05-18,1104,N,VIIRS,n,2.0NRT,301.92,23.22,D
35.68901,43.8793,335.46,0.47,0.64,2026-05-18,1104,N,VIIRS,n,2.0NRT,290.46,23.22,D
36.53535,33.25245,338.31,0.42,0.38,2026-05-18,1104,N,VIIRS,n,2.0NRT,302.99,2.27,D
36.53595,33.25697,349.13,0.42,0.38,2026-05-18,1104,N,VIIRS,n,2.0NRT,302.21,2.27,D
36.53655,33.26161,347.65,0.42,0.38,2026-05-18,1104,N,VIIRS,n,2.0NRT,300.91,2.53,D
36.93731,42.12371,345.79,0.38,0.59,2026-05-18,1104,N,VIIRS,n,2.0NRT,298.17,5.97,D
36.93761,42.12353,337.19,0.38,0.59,2026-05-18,1104,N,VIIRS,n,2.0NRT,298.12,2.86,D
