latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
41.02409,36.09684,298.19,0.57,0.52,2026-09-05,22,N,VIIRS,n,2.0NRT,284.17,0.64,N
41.02437,36.09868,295.98,0.57,0.52,2026-09-05,22,N,VIIRS,n,2.0NRT,284.36,0.88,N
41.1058,37.32266,300.51,0.32,0.55,2026-09-05,22,N,VIIRS,n,2.0NRT,288.33,0.46,N
41.24158,36.46899,312.54,0.58,0.52,2026-09-05,22,N,VIIRS,n,2.0NRT,289.25,3.31,N
41.24328,36.46228,329.94,0.58,0.52,2026-09-05,22,N,VIIRS,n,2.0NRT,290.51,6.29,N
36.1287,40.81209,304.01,0.66,0.73,2026-09-05,24,N,VIIRS,n,2.0NRT,291.89,1.16,N
36.26262,33.73267,306.27,0.56,0.51,2026-09-05,24,N,VIIRS,n,2.0NRT,293.75,2.13,N
36.26488,33.72871,305.23,0.56,0.51,2026-09-05,24,N,VIIRS,n,2.0NRT,293.42,1.3,N
36.69808,40.83919,300.12,0.64,0.72,2026-09-05,24,N,VIIRS,n,2.0NRT,288.74,0.61,N
36.71684,36.20041,345.27,0.37,0.58,2026-09-05,24,N,VIIRS,n,2.0NRT,293.99,5.82,N
36.77605,40.61029,302.65,0.62,0.71,2026-09-05,24,N,VIIRS,n,2.0NRT,288.95,1.16,N
36.79377,42.33945,308.12,0.75,0.77,2026-09-05,24,N,VIIRS,n,2.0NRT,292.03,3.69,N
36.79647,42.33116,327.85,0.75,0.77,2026-09-05,24,N,VIIRS,n,2.0NRT,292.12,3.69,N
36.83007,42.597,311.56,0.77,0.77,2026-09-05,24,N,VIIRS,n,2.0NRT,290.34,1.98,N
36.83691,42.60015,367.0,0.77,0.77,2026-09-05,24,N,VIIRS,h,2.0NRT,295.72,14.64,N
36.8396,42.59194,331.58,0.77,0.77,2026-09-05,24,N,VIIRS,n,2.0NRT,292.95,14.64,N
36.84729,41.82225,306.0,0.71,0.75,2026-09-05,24,N,VIIRS,n,2.0NRT,289.72,1.7,N
36.86355,41.93782,299.98,0.72,0.75,2026-09-05,24,N,VIIRS,n,2.0NRT,289.63,1.51,N
36.86479,41.93167,302.17,0.71,0.75,2026-09-05,24,N,VIIRS,n,2.0NRT,289.72,1.59,N
36.90535,40.60502,305.19,0.61,0.71,2026-09-05,24,N,VIIRS,n,2.0NRT,288.88,0.48,N
36.94408,42.12898,314.77,0.73,0.76,2026-09-05,24,N,VIIRS,n,2.0NRT,293.93,1.78,N
36.94524,42.13308,322.86,0.73,0.76,2026-09-05,24,N,VIIRS,n,2.0NRT,293.91,4.03,N
36.94956,40.82589,304.34,0.63,0.72,2026-09-05,24,N,VIIRS,n,2.0NRT,289.17,0.88,N
36.95065,42.13242,310.83,0.73,0.76,2026-09-05,24,N,VIIRS,n,2.0NRT,293.3,1.78,N
36.99294,42.28101,319.39,0.74,0.76,2026-09-05,24,N,VIIRS,n,2.0NRT,293.66,4.76,N
36.99391,42.28437,318.36,0.74,0.76,2026-09-05,24,N,VIIRS,n,2.0NRT,294.3,4.11,N
36.99646,42.27644,306.05,0.74,0.76,2026-09-05,24,N,VIIRS,n,2.0NRT,292.93,3.41,N
37.00349,42.296,304.66,0.74,0.76,2026-09-05,24,N,VIIRS,n,2.0NRT,294.06,1.86,N
37.07652,42.56018,306.59,0.76,0.77,2026-09-05,24,N,VIIRS,n,2.0NRT,295.01,3.19,N
37.07699,37.44938,301.75,0.42,0.61,2026-09-05,24,N,VIIRS,n,2.0NRT,291.44,0.32,N
37.08065,41.13102,330.94,0.64,0.72,2026-09-05,24,N,VIIRS,n,2.0NRT,292.99,4.08,N
37.25391,30.44072,305.53,0.55,0.42,2026-09-05,24,N,VIIRS,n,2.0NRT,290.36,1.09,N
37.29185,37.15762,303.41,0.4,0.6,2026-09-05,24,N,VIIRS,n,2.0NRT,293.4,0.96,N
37.66795,39.5226,300.07,0.52,0.66,2026-09-05,24,N,VIIRS,n,2.0NRT,288.62,1.17,N
37.69263,38.08719,308.46,0.43,0.62,2026-09-05,24,N,VIIRS,n,2.0NRT,292.36,0.78,N
37.84011,31.66857,302.86,0.4,0.45,2026-09-05,24,N,VIIRS,n,2.0NRT,286.65,1.4,N
37.84036,31.6713,300.07,0.41,0.45,2026-09-05,24,N,VIIRS,n,2.0NRT,286.97,0.98,N
37.84109,31.66414,295.86,0.4,0.45,2026-09-05,24,N,VIIRS,n,2.0NRT,285.38,0.68,N
37.84131,31.66686,307.45,0.4,0.45,2026-09-05,24,N,VIIRS,n,2.0NRT,286.06,1.22,N
38.42682,27.21766,316.01,0.4,0.37,2026-09-05,24,N,VIIRS,n,2.0NRT,295.3,1.47,N
38.45595,38.72573,304.07,0.45,0.63,2026-09-05,24,N,VIIRS,n,2.0NRT,291.82,0.97,N
38.65959,30.61687,307.98,0.52,0.42,2026-09-05,24,N,VIIRS,n,2.0NRT,286.49,0.94,N
38.73573,26.943,304.61,0.4,0.37,2026-09-05,24,N,VIIRS,n,2.0NRT,293.96,1.02,N
38.73808,26.92946,330.6,0.4,0.37,2026-09-05,24,N,VIIRS,n,2.0NRT,294.88,3.02,N
38.73827,26.94849,317.98,0.4,0.37,2026-09-05,24,N,VIIRS,n,2.0NRT,295.0,1.78,N
38.73906,26.94396,310.5,0.4,0.37,2026-09-05,24,N,VIIRS,n,2.0NRT,293.57,1.02,N
38.7416,26.94943,308.94,0.4,0.37,2026-09-05,24,N,VIIRS,n,2.0NRT,294.5,1.12,N
39.02871,33.06725,320.14,0.45,0.47,2026-09-05,24,N,VIIRS,n,2.0NRT,284.86,2.03,N
39.05725,34.62681,300.61,0.53,0.5,2026-09-05,24,N,VIIRS,n,2.0NRT,279.48,0.99,N
39.07833,34.68156,299.47,0.54,0.51,2026-09-05,24,N,VIIRS,n,2.0NRT,279.52,1.29,N
39.08282,34.68338,330.92,0.54,0.51,2026-09-05,24,N,VIIRS,n,2.0NRT,280.52,4.78,N
39.09055,27.51493,312.65,0.41,0.37,2026-09-05,24,N,VIIRS,n,2.0NRT,291.67,1.02,N
39.09137,27.5103,308.23,0.41,0.37,2026-09-05,24,N,VIIRS,n,2.0NRT,291.58,1.02,N
39.09389,27.51598,302.44,0.41,0.37,2026-09-05,24,N,VIIRS,n,2.0NRT,291.32,0.57,N
39.0947,27.51136,301.87,0.41,0.37,2026-09-05,24,N,VIIRS,n,2.0NRT,291.15,0.57,N
39.11061,33.21603,300.46,0.45,0.47,2026-09-05,24,N,VIIRS,n,2.0NRT,284.21,0.99,N
39.11398,27.52415,301.3,0.41,0.37,2026-09-05,24,N,VIIRS,n,2.0NRT,290.46,0.62,N
39.1148,27.51958,308.61,0.41,0.37,2026-09-05,24,N,VIIRS,n,2.0NRT,291.53,1.34,N
