latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
36.71643,36.19791,305.09,0.64,0.72,2026-09-04,41,N,VIIRS,n,2.0NRT,291.48,3.37,N
36.71893,36.20074,307.7,0.65,0.73,2026-09-04,41,N,VIIRS,n,2.0NRT,291.57,4.54,N
37.6922,38.08618,301.82,0.75,0.77,2026-09-04,41,N,VIIRS,n,2.0NRT,290.98,1.54,N
38.52005,31.31041,299.63,0.33,0.55,2026-09-04,41,N,VIIRS,n,2.0NRT,280.87,0.36,N
38.73682,26.94506,325.76,0.39,0.44,2026-09-04,41,N,VIIRS,n,2.0NRT,296.61,1.59,N
38.73969,26.93191,318.01,0.39,0.44,2026-09-04,41,N,VIIRS,n,2.0NRT,293.88,1.06,N
38.73978,26.95086,306.21,0.39,0.44,2026-09-04,41,N,VIIRS,n,2.0NRT,293.45,1.59,N
38.74362,26.93328,303.17,0.39,0.44,2026-09-04,41,N,VIIRS,n,2.0NRT,291.93,1.06,N
38.74371,26.95229,312.66,0.39,0.44,2026-09-04,41,N,VIIRS,n,2.0NRT,293.38,1.65,N
38.95218,31.73965,301.39,0.33,0.56,2026-09-04,41,N,VIIRS,n,2.0NRT,284.42,1.16,N
38.95704,31.74198,321.54,0.33,0.56,2026-09-04,41,N,VIIRS,n,2.0NRT,285.49,1.16,N
38.95803,31.73818,303.91,0.33,0.56,2026-09-04,41,N,VIIRS,n,2.0NRT,284.9,2.28,N
39.08934,27.51393,301.61,0.41,0.45,2026-09-04,41,N,VIIRS,n,2.0NRT,290.88,0.71,N
39.09328,27.51565,307.66,0.41,0.45,2026-09-04,41,N,VIIRS,n,2.0NRT,291.51,0.71,N
39.11323,27.52326,302.24,0.41,0.45,2026-09-04,41,N,VIIRS,n,2.0NRT,289.9,0.91,N
39.57051,33.80085,299.1,0.41,0.61,2026-09-04,41,N,VIIRS,n,2.0NRT,283.41,0.73,N
39.6062,27.87899,299.53,0.41,0.45,2026-09-04,41,N,VIIRS,n,2.0NRT,289.28,0.81,N
39.76686,33.47483,300.07,0.39,0.59,2026-09-04,41,N,VIIRS,n,2.0NRT,287.17,0.72,N
39.86653,26.24213,314.9,0.52,0.41,2026-09-04,41,N,VIIRS,n,2.0NRT,292.04,2.24,N
40.44284,27.14015,304.47,0.55,0.43,2026-09-04,41,N,VIIRS,n,2.0NRT,293.01,1.14,N
40.51369,34.20352,343.74,0.4,0.6,2026-09-04,41,N,VIIRS,n,2.0NRT,287.56,3.18,N
