latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
40.75679,31.78278,304.57,0.42,0.45,2025-08-06,19,N,VIIRS,n,2,289.94,0.99,N,2
40.76456,32.21774,305.3,0.44,0.46,2025-08-06,19,N,VIIRS,n,2,286.91,0.54,N,2
40.9462,31.39635,301.62,0.4,0.44,2025-08-06,19,N,VIIRS,n,2,290.57,0.6,N,2
41.02439,36.09662,297.87,0.33,0.56,2025-08-06,19,N,VIIRS,n,2,287.76,0.68,N,0
41.25396,31.41457,298.91,0.39,0.44,2025-08-06,19,N,VIIRS,n,2,288.01,2.12,N,2
41.25468,31.41163,317.12,0.39,0.44,2025-08-06,19,N,VIIRS,n,2,284.13,2.1,N,2
41.25949,31.42831,305.02,0.39,0.44,2025-08-06,19,N,VIIRS,n,2,290.63,1.32,N,2
41.26051,31.42377,307.13,0.39,0.44,2025-08-06,19,N,VIIRS,n,2,290.77,1.32,N,2
41.26343,31.42983,316.52,0.39,0.44,2025-08-06,19,N,VIIRS,n,2,292.1,1.88,N,2
41.26443,31.42529,306.64,0.39,0.44,2025-08-06,19,N,VIIRS,n,2,292.84,1.88,N,2
41.49777,27.33148,308.86,0.41,0.37,2025-08-06,19,N,VIIRS,n,2,289.87,0.71,N,0
41.63141,27.68534,305.67,0.42,0.38,2025-08-06,19,N,VIIRS,n,2,292.28,1.0,N,2
41.797,26.70358,308.11,0.4,0.37,2025-08-06,19,N,VIIRS,n,2,292.7,0.51,N,2
41.90493,26.05543,316.11,0.39,0.36,2025-08-06,19,N,VIIRS,n,2,290.93,1.57,N,0
41.90571,26.0508,308.23,0.39,0.36,2025-08-06,19,N,VIIRS,n,2,290.1,1.07,N,0
41.90744,26.06103,302.51,0.39,0.36,2025-08-06,19,N,VIIRS,n,2,290.31,0.76,N,0
41.90823,26.0564,302.74,0.39,0.36,2025-08-06,19,N,VIIRS,n,2,289.89,0.76,N,0
41.90918,26.07129,312.97,0.39,0.36,2025-08-06,19,N,VIIRS,n,2,290.94,1.09,N,0
41.90996,26.06664,305.99,0.39,0.36,2025-08-06,19,N,VIIRS,n,2,289.91,1.09,N,0
41.91247,26.07227,323.42,0.39,0.36,2025-08-06,19,N,VIIRS,n,2,291.0,1.65,N,0
41.91498,26.07792,315.51,0.39,0.36,2025-08-06,19,N,VIIRS,n,2,290.88,1.47,N,0
41.91577,26.07325,307.82,0.39,0.36,2025-08-06,19,N,VIIRS,n,2,290.33,1.65,N,0
41.91748,26.08358,304.65,0.39,0.36,2025-08-06,19,N,VIIRS,n,2,290.57,0.85,N,0
41.91827,26.0789,309.75,0.39,0.36,2025-08-06,19,N,VIIRS,n,2,291.74,0.85,N,0
41.92078,26.08456,309.32,0.39,0.36,2025-08-06,19,N,VIIRS,n,2,291.36,0.85,N,0
41.92831,26.10151,308.87,0.39,0.36,2025-08-06,19,N,VIIRS,n,2,289.3,0.39,N,0
36.14309,40.81954,307.97,0.78,0.78,2025-08-06,20,N,VIIRS,n,2,295.4,0.74,N,2
36.22665,36.78426,311.89,0.49,0.65,2025-08-06,20,N,VIIRS,n,2,294.53,1.17,N,0
36.22993,36.78365,311.27,0.48,0.65,2025-08-06,20,N,VIIRS,n,2,294.77,1.26,N,0
37.25319,30.44584,304.5,0.43,0.46,2025-08-06,20,N,VIIRS,n,2,293.27,0.48,N,2
37.25382,30.44396,313.65,0.43,0.46,2025-08-06,20,N,VIIRS,n,2,294.84,1.46,N,2
37.25421,30.44114,306.4,0.43,0.46,2025-08-06,20,N,VIIRS,n,2,293.88,0.84,N,2
37.35213,37.16212,308.82,0.47,0.64,2025-08-06,20,N,VIIRS,n,2,296.11,1.12,N,2
38.42759,27.21763,316.44,0.44,0.39,2025-08-06,20,N,VIIRS,n,2,296.8,2.4,N,2
38.66011,30.61695,307.86,0.41,0.45,2025-08-06,20,N,VIIRS,n,2,291.19,0.79,N,2
38.73707,26.94997,307.04,0.43,0.38,2025-08-06,20,N,VIIRS,n,2,296.51,1.6,N,2
38.73797,26.94509,318.55,0.43,0.38,2025-08-06,20,N,VIIRS,n,2,298.23,3.31,N,2
38.73839,26.94715,324.41,0.43,0.38,2025-08-06,20,N,VIIRS,n,2,298.33,3.38,N,2
38.74067,26.93041,320.98,0.43,0.38,2025-08-06,20,N,VIIRS,n,2,297.2,2.94,N,2
38.74114,26.93248,320.06,0.43,0.38,2025-08-06,20,N,VIIRS,n,2,295.74,2.92,N,2
39.09197,27.51554,304.86,0.45,0.39,2025-08-06,20,N,VIIRS,n,2,292.75,0.63,N,0
39.09294,27.51048,309.34,0.45,0.39,2025-08-06,20,N,VIIRS,n,2,293.88,1.43,N,0
39.10331,27.51427,304.07,0.45,0.39,2025-08-06,20,N,VIIRS,n,2,293.69,0.86,N,0
39.11287,27.52234,306.82,0.45,0.39,2025-08-06,20,N,VIIRS,n,2,293.31,1.31,N,2
39.11639,27.52323,304.12,0.45,0.39,2025-08-06,20,N,VIIRS,n,2,293.05,0.78,N,0
39.16802,27.63294,305.79,0.45,0.39,2025-08-06,20,N,VIIRS,n,2,293.88,0.97,N,2
39.86393,26.24429,308.22,0.4,0.37,2025-08-06,20,N,VIIRS,n,2,295.39,1.24,N,2
39.86727,26.2453,321.02,0.4,0.37,2025-08-06,20,N,VIIRS,n,2,296.57,1.24,N,2
38.25094,38.98289,348.14,0.54,0.42,2025-08-06,1001,N,VIIRS,n,2,316.02,9.95,D,0
39.77605,32.91622,367.0,0.33,0.55,2025-08-06,1001,N,VIIRS,h,2,311.57,8.73,D,0
39.99735,35.84767,343.36,0.47,0.48,2025-08-06,1001,N,VIIRS,n,2,313.0,8.88,D,0
39.99813,35.85026,357.09,0.47,0.48,2025-08-06,1001,N,VIIRS,n,2,313.73,15.52,D,0
39.99863,35.85314,341.85,0.47,0.48,2025-08-06,1001,N,VIIRS,n,2,312.96,13.08,D,0
40.00171,35.84652,343.11,0.47,0.48,2025-08-06,1001,N,VIIRS,n,2,313.61,8.88,D,0
40.00248,35.84909,356.95,0.47,0.48,2025-08-06,1001,N,VIIRS,n,2,314.95,15.52,D,0
40.00299,35.85199,367.0,0.47,0.48,2025-08-06,1001,N,VIIRS,h,2,316.18,13.08,D,0
40.00372,35.85459,353.88,0.47,0.48,2025-08-06,1001,N,VIIRS,n,2,315.38,15.52,D,0
40.08255,32.8007,343.89,0.33,0.55,2025-08-06,1001,N,VIIRS,n,2,308.71,3.33,D,0
41.24061,36.46736,343.97,0.41,0.45,2025-08-06,1002,N,VIIRS,n,2,307.48,6.34,D,2
41.24171,36.46378,343.2,0.41,0.45,2025-08-06,1002,N,VIIRS,n,2,307.82,7.06,D,2
41.2634,31.42905,330.89,0.36,0.57,2025-08-06,1002,N,VIIRS,n,2,300.21,4.36,D,2
38.09235,26.94819,339.09,0.45,0.47,2025-08-06,1142,N,VIIRS,n,2,303.57,5.04,D,0
38.57725,26.92916,337.97,0.45,0.47,2025-08-06,1142,N,VIIRS,n,2,303.12,3.08,D,0
39.08674,31.66442,356.08,0.41,0.61,2025-08-06,1142,N,VIIRS,n,2,317.72,17.19,D,0
39.08698,31.66935,349.18,0.41,0.61,2025-08-06,1142,N,VIIRS,n,2,310.83,24.54,D,0
39.37668,32.66448,338.98,0.47,0.64,2025-08-06,1142,N,VIIRS,n,2,308.74,2.08,D,0
39.94233,32.58131,344.97,0.47,0.64,2025-08-06,1142,N,VIIRS,n,2,309.24,3.58,D,0
40.65601,36.71585,367.0,0.77,0.78,2025-08-06,1142,N,VIIRS,h,2,296.0,24.79,D,0
40.65619,36.70555,333.33,0.77,0.78,2025-08-06,1142,N,VIIRS,n,2,294.38,13.56,D,0
40.65619,36.7165,356.61,0.77,0.78,2025-08-06,1142,N,VIIRS,n,2,295.8,13.56,D,0
40.85471,26.66306,346.46,0.47,0.47,2025-08-06,1142,N,VIIRS,n,2,294.07,14.06,D,0
41.03936,28.52553,335.27,0.58,0.52,2025-08-06,1142,N,VIIRS,n,2,297.7,4.69,D,0
41.03988,28.53299,330.04,0.58,0.52,2025-08-06,1142,N,VIIRS,n,2,297.15,6.27,D,0
41.04155,28.5314,341.7,0.59,0.52,2025-08-06,1142,N,VIIRS,n,2,297.15,9.74,D,0
40.57512,43.00658,299.27,0.35,0.57,2025-08-06,2219,N,VIIRS,n,2,287.12,0.46,N,2
36.73184,42.91859,309.61,0.33,0.55,2025-08-06,2220,N,VIIRS,n,2,295.65,0.95,N,0
36.77494,43.32222,338.93,0.62,0.54,2025-08-06,2220,N,VIIRS,n,2,299.02,12.51,N,2
36.86834,43.48799,321.85,0.61,0.53,2025-08-06,2220,N,VIIRS,n,2,293.61,5.93,N,2
36.93487,42.1293,312.95,0.36,0.57,2025-08-06,2220,N,VIIRS,n,2,295.64,2.1,N,2
36.94303,42.17125,329.84,0.36,0.57,2025-08-06,2220,N,VIIRS,n,2,297.35,2.29,N,2
36.96479,42.08154,314.48,0.36,0.58,2025-08-06,2220,N,VIIRS,n,2,294.52,0.97,N,2
36.99614,41.56184,308.83,0.39,0.59,2025-08-06,2220,N,VIIRS,n,2,294.81,0.67,N,2
39.08169,41.9785,310.0,0.39,0.59,2025-08-06,2220,N,VIIRS,n,2,290.22,2.27,N,0
35.52562,44.34261,337.51,0.53,0.5,2025-08-06,2221,N,VIIRS,n,2,282.92,9.27,N,2
35.53078,44.33731,334.79,0.53,0.5,2025-08-06,2221,N,VIIRS,n,2,292.44,8.64,N,2
35.53541,44.33802,334.84,0.53,0.5,2025-08-06,2221,N,VIIRS,n,2,294.88,9.49,N,2
35.62606,44.00712,323.56,0.55,0.51,2025-08-06,2221,N,VIIRS,n,2,297.77,5.02,N,2
35.63081,44.00764,344.96,0.55,0.51,2025-08-06,2221,N,VIIRS,n,2,303.15,17.01,N,2
35.66282,43.9683,323.48,0.55,0.51,2025-08-06,2221,N,VIIRS,n,2,298.74,11.28,N,2
35.66332,43.96212,339.3,0.55,0.51,2025-08-06,2221,N,VIIRS,n,2,301.65,11.28,N,2
35.67881,44.06353,310.84,0.55,0.51,2025-08-06,2221,N,VIIRS,n,2,297.84,4.53,N,2
35.68486,43.87632,346.28,0.56,0.52,2025-08-06,2221,N,VIIRS,n,2,294.98,38.06,N,2
35.68537,43.87004,303.07,0.56,0.52,2025-08-06,2221,N,VIIRS,n,2,291.35,10.43,N,2
35.72471,44.03979,349.76,0.55,0.51,2025-08-06,2221,N,VIIRS,n,2,299.87,11.33,N,2
35.72993,44.03433,336.89,0.55,0.51,2025-08-06,2221,N,VIIRS,n,2,299.68,8.19,N,2
35.7714,43.99632,334.84,0.55,0.51,2025-08-06,2221,N,VIIRS,n,2,299.55,5.59,N,2
35.95137,43.72501,309.1,0.58,0.52,2025-08-06,2221,N,VIIRS,n,2,296.51,3.04,N,2
35.98218,43.76798,318.15,0.57,0.52,2025-08-06,2221,N,VIIRS,n,2,299.68,5.01,N,2
36.01847,43.68012,328.59,0.58,0.52,2025-08-06,2221,N,VIIRS,n,2,295.53,4.01,N,2
36.08304,43.64032,306.05,0.58,0.52,2025-08-06,2221,N,VIIRS,n,2,295.51,1.11,N,0
36.09867,43.62889,307.82,0.59,0.52,2025-08-06,2221,N,VIIRS,n,2,294.03,1.29,N,0
36.13057,40.80866,316.92,0.42,0.61,2025-08-06,2221,N,VIIRS,n,2,296.44,1.43,N,2
36.13203,40.81029,313.8,0.42,0.61,2025-08-06,2221,N,VIIRS,n,2,296.91,1.31,N,2
36.14174,40.81425,322.37,0.42,0.61,2025-08-06,2221,N,VIIRS,n,2,297.5,1.78,N,2
36.14323,40.81591,319.81,0.42,0.61,2025-08-06,2221,N,VIIRS,n,2,296.71,2.24,N,2
36.3515,42.07547,318.94,0.36,0.57,2025-08-06,2221,N,VIIRS,n,2,301.21,2.14,N,2
36.44143,42.93055,309.48,0.32,0.55,2025-08-06,2221,N,VIIRS,n,2,298.65,1.32,N,2
39.0708,41.97654,315.02,0.43,0.62,2025-08-07,0,N,VIIRS,n,2,288.32,2.05,N,0
39.07223,41.9715,313.99,0.43,0.62,2025-08-07,0,N,VIIRS,n,2,288.69,3.84,N,0
39.07423,41.97626,323.87,0.43,0.62,2025-08-07,0,N,VIIRS,n,2,289.19,3.65,N,0
39.07629,41.97879,327.91,0.43,0.62,2025-08-07,0,N,VIIRS,n,2,289.17,2.05,N,0
39.08301,41.9767,324.48,0.43,0.62,2025-08-07,0,N,VIIRS,n,2,289.36,2.5,N,0
40.75602,31.78252,304.5,0.41,0.37,2025-08-07,0,N,VIIRS,n,2,290.0,1.0,N,2
40.7563,29.75911,303.89,0.39,0.36,2025-08-07,0,N,VIIRS,n,2,291.14,2.49,N,2
40.76278,32.21645,297.45,0.42,0.38,2025-08-07,0,N,VIIRS,n,2,285.46,0.64,N,2
40.76619,32.21752,303.07,0.42,0.38,2025-08-07,0,N,VIIRS,n,2,286.97,0.64,N,2
41.17329,32.63357,311.95,0.43,0.38,2025-08-07,0,N,VIIRS,n,2,293.99,1.41,N,2
41.17673,32.63471,308.47,0.43,0.38,2025-08-07,0,N,VIIRS,n,2,295.67,0.95,N,2
41.18016,32.63585,311.2,0.43,0.38,2025-08-07,0,N,VIIRS,n,2,294.49,0.95,N,2
41.23778,36.44035,306.03,0.4,0.44,2025-08-07,0,N,VIIRS,n,2,294.27,0.92,N,2
41.23982,36.46326,317.02,0.4,0.45,2025-08-07,0,N,VIIRS,n,2,292.87,1.62,N,2
41.24007,36.44296,304.78,0.4,0.44,2025-08-07,0,N,VIIRS,n,2,294.32,1.16,N,2
41.24379,36.46484,312.12,0.4,0.45,2025-08-07,0,N,VIIRS,n,2,294.37,1.62,N,2
41.2541,31.41486,329.98,0.4,0.37,2025-08-07,0,N,VIIRS,n,2,291.92,1.28,N,2
41.25744,31.41589,302.78,0.4,0.37,2025-08-07,0,N,VIIRS,n,2,291.23,1.28,N,2
41.26243,31.42741,308.07,0.4,0.37,2025-08-07,0,N,VIIRS,n,2,292.86,1.37,N,2
41.26327,31.42269,321.86,0.4,0.37,2025-08-07,0,N,VIIRS,n,2,292.21,1.98,N,2
41.26661,31.42371,303.77,0.4,0.37,2025-08-07,0,N,VIIRS,n,2,291.86,0.65,N,2
35.5253,44.34885,309.3,0.71,0.75,2025-08-07,1,N,VIIRS,n,2,293.33,7.85,N,2
35.52632,44.34271,341.81,0.7,0.75,2025-08-07,1,N,VIIRS,n,2,295.49,7.36,N,2
35.52759,44.34146,349.59,0.7,0.75,2025-08-07,1,N,VIIRS,n,2,295.99,7.85,N,2
35.52864,44.33537,330.39,0.7,0.75,2025-08-07,1,N,VIIRS,n,2,295.57,7.36,N,2
35.52989,44.33404,317.05,0.7,0.75,2025-08-07,1,N,VIIRS,n,2,295.37,12.15,N,2
35.53531,44.33812,321.21,0.7,0.75,2025-08-07,1,N,VIIRS,n,2,294.39,7.36,N,2
35.53654,44.33682,313.44,0.7,0.75,2025-08-07,1,N,VIIRS,n,2,293.83,5.63,N,2
35.62332,44.01064,312.92,0.67,0.74,2025-08-07,1,N,VIIRS,n,2,294.43,3.87,N,2
35.62552,44.00363,316.28,0.67,0.74,2025-08-07,1,N,VIIRS,n,2,294.24,4.86,N,2
35.6293,44.01153,367.0,0.67,0.74,2025-08-07,1,N,VIIRS,h,2,297.17,10.71,N,2
35.62972,44.01384,319.11,0.67,0.74,2025-08-07,1,N,VIIRS,n,2,294.26,5.94,N,2
35.63145,44.00449,319.07,0.67,0.74,2025-08-07,1,N,VIIRS,n,2,294.05,10.71,N,2
35.63192,44.00683,344.82,0.67,0.74,2025-08-07,1,N,VIIRS,n,2,295.98,10.25,N,2
35.65776,43.96665,340.25,0.67,0.74,2025-08-07,1,N,VIIRS,n,2,294.72,10.17,N,0
35.65848,43.96902,317.11,0.67,0.73,2025-08-07,1,N,VIIRS,n,2,294.77,7.18,N,2
35.65997,43.95942,317.91,0.67,0.73,2025-08-07,1,N,VIIRS,n,2,294.24,9.53,N,2
35.66073,43.96181,349.43,0.67,0.73,2025-08-07,1,N,VIIRS,n,2,295.96,7.18,N,2
35.66424,43.96954,315.49,0.67,0.74,2025-08-07,1,N,VIIRS,n,2,294.75,4.56,N,2
35.66646,43.96224,304.86,0.67,0.73,2025-08-07,1,N,VIIRS,n,2,293.79,4.25,N,2
35.68079,43.87365,313.52,0.66,0.73,2025-08-07,1,N,VIIRS,n,2,292.58,3.79,N,2
35.68389,43.88091,353.61,0.66,0.73,2025-08-07,1,N,VIIRS,n,2,292.91,18.9,N,2
35.68503,43.88361,301.72,0.66,0.73,2025-08-07,1,N,VIIRS,n,2,291.33,2.64,N,2
35.68608,43.87372,367.0,0.66,0.73,2025-08-07,1,N,VIIRS,h,2,291.38,24.7,N,2
35.68725,43.87648,336.76,0.66,0.73,2025-08-07,1,N,VIIRS,n,2,288.7,2.64,N,2
35.72084,44.03674,313.93,0.67,0.74,2025-08-07,1,N,VIIRS,n,2,295.5,3.91,N,2
