latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
41.25588,31.41563,296.1,0.34,0.56,2025-06-02,37,N,VIIRS,n,2,283.57,0.41,N,2
41.26366,31.42801,296.26,0.34,0.56,2025-06-02,37,N,VIIRS,n,2,285.07,1.26,N,2
41.26467,31.42418,321.67,0.34,0.56,2025-06-02,37,N,VIIRS,n,2,286.71,1.95,N,2
41.56515,32.43077,295.47,0.37,0.58,2025-06-02,37,N,VIIRS,n,2,280.06,0.62,N,2
36.86828,34.76089,297.57,0.65,0.73,2025-06-02,38,N,VIIRS,n,2,284.95,1.49,N,2
37.01227,36.10707,296.1,0.75,0.77,2025-06-02,38,N,VIIRS,n,2,284.18,2.48,N,2
38.42638,27.21793,300.91,0.49,0.48,2025-06-02,38,N,VIIRS,n,2,288.89,0.48,N,2
38.66129,30.61998,295.03,0.36,0.57,2025-06-02,38,N,VIIRS,n,2,280.66,0.65,N,2
38.73182,26.96353,298.57,0.47,0.47,2025-06-02,38,N,VIIRS,n,2,287.27,0.99,N,2
38.73662,26.94282,302.41,0.46,0.47,2025-06-02,38,N,VIIRS,n,2,290.95,1.97,N,2
38.73905,26.93236,299.7,0.46,0.47,2025-06-02,38,N,VIIRS,n,2,289.05,0.77,N,2
38.74937,26.94761,300.75,0.46,0.47,2025-06-02,38,N,VIIRS,n,2,288.61,1.35,N,2
38.75179,26.93712,311.0,0.46,0.47,2025-06-02,38,N,VIIRS,n,2,288.88,1.18,N,0
39.09036,27.51241,295.1,0.49,0.48,2025-06-02,38,N,VIIRS,n,2,284.95,0.18,N,0
39.48406,30.0396,310.47,0.32,0.55,2025-06-02,38,N,VIIRS,n,2,281.03,1.43,N,2
39.60868,27.87674,295.89,0.49,0.49,2025-06-02,38,N,VIIRS,n,2,284.59,0.71,N,2
39.86448,26.24463,315.15,0.41,0.45,2025-06-02,38,N,VIIRS,n,2,289.08,1.19,N,2
39.86627,26.24346,318.8,0.41,0.45,2025-06-02,38,N,VIIRS,n,2,290.08,1.86,N,2
40.2648,28.9751,298.4,0.54,0.51,2025-06-02,38,N,VIIRS,n,2,285.12,0.79,N,0
40.44253,27.14133,301.97,0.44,0.46,2025-06-02,38,N,VIIRS,n,2,288.23,1.5,N,2
40.444,27.14075,307.24,0.44,0.46,2025-06-02,38,N,VIIRS,n,2,290.25,1.16,N,2
40.75665,31.78448,295.03,0.36,0.57,2025-06-02,38,N,VIIRS,n,2,280.33,0.45,N,2
40.76718,29.53025,299.31,0.56,0.51,2025-06-02,38,N,VIIRS,n,2,288.33,1.64,N,2
40.76744,29.52979,298.84,0.56,0.51,2025-06-02,38,N,VIIRS,n,2,288.01,1.37,N,2
41.01923,28.55302,307.1,0.49,0.49,2025-06-02,38,N,VIIRS,n,2,285.94,1.9,N,2
41.79671,26.70056,305.79,0.39,0.44,2025-06-02,38,N,VIIRS,n,2,285.38,0.61,N,2
36.26284,33.72928,295.62,0.6,0.7,2025-06-02,39,N,VIIRS,n,2,284.62,0.72,N,2
37.25407,30.44335,308.26,0.38,0.59,2025-06-02,39,N,VIIRS,n,2,283.49,1.41,N,2
35.62925,44.01086,350.47,0.44,0.39,2025-06-02,1018,N,VIIRS,n,2,324.27,13.81,D,2
35.631,44.00752,345.44,0.44,0.39,2025-06-02,1018,N,VIIRS,n,2,313.85,8.04,D,2
35.66217,43.96648,350.18,0.44,0.39,2025-06-02,1018,N,VIIRS,n,2,318.04,15.66,D,2
35.6871,43.87698,356.75,0.44,0.38,2025-06-02,1018,N,VIIRS,n,2,317.81,14.74,D,2
36.36206,43.17771,348.92,0.42,0.38,2025-06-02,1018,N,VIIRS,n,2,321.68,9.23,D,0
36.3351,29.30838,335.64,0.35,0.57,2025-06-02,1019,N,VIIRS,n,2,295.89,1.21,D,0
36.7267,36.21151,333.62,0.47,0.4,2025-06-02,1019,N,VIIRS,n,2,301.21,3.97,D,2
36.79739,43.37799,353.4,0.43,0.38,2025-06-02,1019,N,VIIRS,n,2,319.79,11.15,D,0
36.86853,43.48948,337.86,0.44,0.38,2025-06-02,1019,N,VIIRS,n,2,312.51,3.94,D,2
36.90643,43.39056,340.53,0.43,0.38,2025-06-02,1019,N,VIIRS,n,2,313.62,4.71,D,2
36.9293,43.31694,355.38,0.43,0.38,2025-06-02,1019,N,VIIRS,n,2,318.75,8.87,D,0
36.93341,43.32102,345.89,0.43,0.38,2025-06-02,1019,N,VIIRS,n,2,313.32,6.13,D,0
38.90064,40.48325,342.52,0.39,0.36,2025-06-02,1019,N,VIIRS,n,2,309.53,2.66,D,0
